language;method;nodes;edges;density;avg_degree;median_degree;degree_std;max_degree;num_components;largest_component_nodes;largest_component_ratio;diameter;avg_shortest_path;avg_clustering_coefficient;transitivity;modularity;num_communities;degree_assortativity
sq;mknn100;10000;3246283;0.064932153;649.2566;653;156.4398484;1000;1;10000;1;3;1.935539534;0.205201715;0.225751205;0.321991249;6;0.413902201
it;thr_p95;10000;2499751;0.05000002;499.9502;303.5;543.6743079;4507;2;9999;0.9999;5;2.241168786;0.414803922;0.375892002;0.335433528;6;0.077417744
is;thr_p95;10000;2499751;0.05000002;499.9502;387;414.0897636;6462;1;10000;1;3;1.985776018;0.315512101;0.289619325;0.330089154;8;0.063259126
ro;thr_p95;10000;2499751;0.05000002;499.9502;335;513.8356322;4754;2;9999;0.9999;5;2.096026726;0.392005621;0.352382528;0.343489435;7;0.082904202
bg;thr_p95;10000;2499751;0.05000002;499.9502;170;676.8188804;3846;1;10000;1;4;2.315175878;0.437178662;0.497123459;0.221393656;7;0.092967227
ca;thr_p95;10000;2499751;0.05000002;499.9502;368.5;412.3277795;4395;1;10000;1;4;2.011919212;0.335738141;0.321796806;0.358023226;7;0.167719371
lt;thr_p95;10000;2499753;0.05000006;499.9506;418;355.123976;6751;1;10000;1;3;1.965468687;0.282735047;0.239771676;0.347838836;9;0.047052354
ro;mknn100;10000;2837877;0.056763216;567.5754;572;215.0498963;1000;1;10000;1;4;1.996243724;0.274604532;0.301697177;0.414687754;7;0.504822998
de;thr_p95;10000;2499751;0.05000002;499.9502;31;833.2596295;3228;112;9882;0.9882;9;2.891889707;0.537169635;0.722236511;0.098216125;127;-0.010429025
el;mknn100;10000;3785180;0.075711171;757.036;780;150.000045;1000;1;10000;1;3;1.926221642;0.27565283;0.290395356;0.408116113;6;0.319780787
sk;thr_p95;10000;2499752;0.05000004;499.9504;355;457.6352049;5077;1;10000;1;3;2.006267867;0.318676926;0.342242624;0.327083401;7;0.186265111
es;mknn100;10000;3196204;0.063930473;639.2408;656;220.4356333;1000;1;10000;1;4;1.996863446;0.299492996;0.312948722;0.459161423;6;0.424715957
si;mknn100;10000;3087761;0.061761396;617.5522;645;252.7261302;1000;1;10000;1;3;1.94900108;0.218955941;0.231405991;0.298838553;6;0.348964076
